Accession,Isolate,Species,Genus,Family,Length,Nuc_Completeness,Country,Host,Collection_Date
ON596332.1,NIE/KAD/17-2,Enterovirus C,Enterovirus,Picornaviridae,7439,complete,Nigeria,Homo sapiens,2017
ON736860.1,ALB _F2_004_P,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7720,complete,Uganda,Bos taurus,2015
OP114090.1,UFS-NGS_UNIT_Summer_SARI_B-Series,Rhinovirus A,Enterovirus,Picornaviridae,6482,partial,South Africa,Homo sapiens,2021
OP114092.1,UFS-NGS_UNIT_Summer_SARI_E-Series,Rhinovirus C,Enterovirus,Picornaviridae,4304,partial,South Africa,Homo sapiens,2021
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,8263,complete,Madagascar,Eidolon dupreanum,2018-07-27
OP778142.1,Uganda 2010,Cardiovirus B,Cardiovirus,Picornaviridae,7945,partial,Uganda,Homo sapiens,2010-04-11
OQ302224.1,RL314,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,1446,partial,Egypt,Bos taurus,22-Apr
OQ557396.1,ETH/2/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8198,partial,Ethiopia,Bos taurus,1991-05-01
OQ557397.1,ETH/2/2022,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8205,partial,Ethiopia,Bos taurus,2022-03-29
OQ835739.1,,Picornaviridae sp.,,Picornaviridae,4031,partial,Cameroon,Homo sapiens,2017
OQ941577.1,EA-3,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7623,partial,Nigeria,Bos taurus,20-Jul
OR075000.1,b6,Enterovirus B,Enterovirus,Picornaviridae,7069,partial,Nigeria,Homo sapiens,20-Mar
OR082796.1,FEC052,Bat aichivirus,Kobuvirus,Picornaviridae,2077,partial,Madagascar,Eidolon dupreanum,2018-04-09
OR350266.1,F14,African cichlid picornavirus,,Picornaviridae,6852,partial,Zambia,Neolamprologus caudopunctatus,2014-07-21
OQ818316,,Unclassified,Mischivirus,Picornaviridae,Madagascar,Pteropus rufus,1,2018,1
OQ818317,,Unclassified,Kunsagivirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818319,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,,Unclassified,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,,Unclassified,Picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,,Unclassified,Picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818337,,Unclassified,Hepatovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818340,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818342,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818343,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818344,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818345,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818346,,Unclassified,Picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818347,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818348,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Rousettus madagascariensis,1,2019,1
